Family,Type
Leone,Unknown
Cornicula,Unknown
Teodato,Unknown
Gioviano,Unknown
Gaulo,Unknown
Antenoreo,Unknown
Pietro,Unknown
Barbolano,Unknown
Flabanico,Estinte
Candiano,Estinte
Centranico,Estinte
Galbaio,Estinte
Monegario,Estinte
Orseolo,Estinte
Participazio,Estinte
Tradonico,Estinte
Tribuno,Estinte
Badoero,Evangeliche
Baseggio,Vecchie
Bragadin,Evangeliche
Contarini,Apostoliche
Corner,Evangeliche
Dandolo,Apostoliche
Faliero,Apostoliche
Giustinian,Evangeliche
Gradenigo,Apostoliche
Dolfin,Apostoliche
Morosini,Apostoliche
Michiel,Apostoliche
Polani,Apostoliche
Sanudo,Apostoliche
Barozzi,Apostoliche
Belegno,Vecchie
Bembo,Evangeliche
Gauli,Vecchie
Memmo,Apostoliche
Querini,Vecchie
Soranzo,Vecchie
Tiepolo,Apostoliche
Zane,Vecchie
Zeno,Vecchie
Ziani,Vecchie
Zorzi,Vecchie
Salamon,Vecchie
Barbarigo,Ducali
Donato,Ducali
Foscari,Ducali
Grimani,Ducali
Gritti,Ducali
Lando,Ducali
Loredan,Ducali
Malipiero,Ducali
Marcello,Ducali
Mocenigo,Ducali
Moro,Ducali
Priuli,Ducali
Trivisan,Ducali
Tron,Ducali
Venier,Ducali
Abramo,Nuove
Agadi,Nuove
Agnusdei,Nuove
Albizzo,Nuove
Amizzo,Nuove
Armer,Nuove
Arimondo,Nuove
Avanzago,Nuove
Baffo,Nuove
Balbi,Nuove
Barbaro,Nuove
Barbo,Nuove
Basadonna,Nuove
Belegno,Nuove
Benedetti,Nuove
Bernardo,Nuove
Bollani,Nuove
Boldù,Nuove
Bon,Nuove
Bondumier,Nuove
Briani,Nuove
Calbo,Nuove
Canal,Nuove
Cappello,Nuove
Caravello,Nuove
Celsi,Nuove
Civran,Nuove
Cocco,Nuove
Coppo,Nuove
Correr,Nuove
Dalle Boccole,Nuove
Da Lezze,Nuove
Da Mosto,Nuove
Da Mula,Nuove
Da Ponte,Nuove
Da Riva,Nuove
Diedo,Nuove
Duodo,Nuove
Emo,Nuove
Erizzo,Nuove
Fabriciaco,Nuove
Ferro,Nuove
Foscarini,Nuove
Foscolo,Nuove
Fradello,Nuove
Gabrielli,Nuove
Galanti,Nuove
Gambarin,Nuove
Ghisi,Nuove
Grioni,Nuove
Grisoni,Nuove
Gussoni,Nuove
Lanzuoli,Nuove
Lombardo,Nuove
Magno,Nuove
Manolesso,Nuove
Marin,Nuove
Mazaman,Nuove
Mengolo,Nuove
Mezzo,Nuove
Miani,Nuove
Miegano,Nuove
Minio,Nuove
Minotto,Nuove
Molin,Nuove
Muazzo,Nuove
Mussolino,Nuove
Nadal,Nuove
Nani,Nuove
Navager,Nuove
Navigroso,Nuove
Orio,Nuove
Pasqualigo,Nuove
Pesaro,Nuove
Pisani,Nuove
Pizzamano,Nuove
Polo,Nuove
Premarin,Nuove
Quintavalle,Nuove
Sagredo,Nuove
Selvo,Nuove
Semitecolo,Nuove
Sesendillo,Nuove
Signolo,Nuove
Steno,Nuove
Storladi,Nuove
Stornello,Nuove
Surian,Nuove
Talonico,Nuove
Valaresso,Nuove
Valier,Nuove
Viaro,Nuove
Vielmo,Nuove
Vitturi,Nuove
Volpe,Nuove
Zaguri,Nuove
Zancani,Nuove
Zancaruol,Nuove
Zantani,Nuove
Zulian,Nuove
Zusto,Nuove
Acotanto,Nuove
Agrinal,Nuove
Bonomo,Nuove
Costantino,Nuove
Donadi,Nuove
Marcimano,Nuove
Massoli,Nuove
Mastalizi,Nuove
Ruzier,Nuove
Ruzzini,Nuove
Stanizi,Nuove
Tolonigo,Nuove
Tonisto,Nuove
Barison,Nuove
Benedetti,Nuove
Bondumier,Nuove
Lion,Nuove
Marmora,Nuove
Molin,Nuove
Surian,Nuove
Addoldo,Nuove
Agadi,Nuove
Agrinal,Nuove
Buoninsegna,Nuove
Caotorta,Nuove
Caroso,Nuove
Dente,Nuove
Diesello,Nuove
Ferro,Nuove
Grisoni,Nuove
Mengolo,Nuove
Papaciza,Nuove
Quintavalle,Nuove
Sesendillo,Nuove
Vidor,Nuove
Calergi,Nuovissime
Caresini,Nuovissime
Cicogna,Nuovissime
Condulmiero,Nuovissime
Darduin,Nuovissime
Garzoni,Nuovissime
Girardi,Nuovissime
Lippomano,Nuovissime
Longo,Nuovissime
Mezzo,Nuovissime
Nani,Nuovissime
Negro,Nuovissime
Orso,Nuovissime
Paruta,Nuovissime
Pasqualigo,Nuovissime
Pietro Penzin,Nuovissime
Polo,Nuovissime
Renier,Nuovissime
Storladi,Nuovissime
Tagliapietra,Nuovissime
Trevisan,Nuovissime
Trevisan,Nuovissime
Vendramin,Nuovissime
Vizzamano,Nuovissime
Zaccaria,Nuovissime
Zusto,Nuovissime
Albrizzi,Soldi
Angaran,Soldi
Antelmi,Soldi
Ariberti,Soldi
Barbaran,Soldi
Belloni,Soldi
Beregan,Soldi
Berlendis,Soldi
Bonfadini,Soldi
Bonlini,Soldi
Bonvicini,Soldi
Bregonzi,Soldi
Bressa,Soldi
Cassetti,Soldi
Catti,Soldi
Condulmer,Soldi
Conti,Soldi
Correggio,Soldi
Crotta,Soldi
Dolce,Soldi
Dondi dell’Orologio,Soldi
Farsetti,Soldi
Ferramosca,Soldi
Ferro,Soldi
Fini,Soldi
Flangini,Soldi
Fonseca,Soldi
Fonte,Soldi
Gambara,Soldi
Ghedini,Soldi
Gherardini,Soldi
Giovanelli,Soldi
Giupponi,Soldi
Gozzi,Soldi
Labia,Soldi
Laghi,Soldi
Lazzari,Soldi
Lion Cavazza,Soldi
Lombria,Soldi
Lucca,Soldi
Macarelli,Soldi
Maffetti,Soldi
Manin,Soldi
Martinelli,Soldi
Medici,Soldi
Minelli,Soldi
Mora de San Marcuola,Soldi
Nave,Soldi
Ottoboni,Soldi
Papafava,Soldi
Pasta,Soldi
Piovene,Soldi
Poli,Soldi
Polvaro,Soldi
Raspi,Soldi
Ravagnin,Soldi
Rubini,Soldi
Sangiantoffetti,Soldi
Santasoffia,Soldi
Soderini,Soldi
Statio,Soldi
Surian,Soldi
Tasca,Soldi
Valmarana,Soldi
Van Axel,Soldi
Verdizzotti,Soldi
Vianol,Soldi
Widmann,Soldi
Zacco,Soldi
Zaguri,Soldi
Zambelli de San Giacomo dell’Orio,Soldi
Zanardi,Soldi
Zenobio,Soldi
Zolio,Soldi
Zon,Soldi
Acquisti,Soldi
Arnaldi,Soldi
Baglioni,Soldi
Barzizza,Soldi
Bellotto,Soldi
Benzon di San Vidal,Soldi
Bettoni,Soldi
Bonlini,Soldi
Brandolini,Soldi
Carminati,Soldi
Castelli,Soldi
Cavagnis,Soldi
Celini,Soldi
Codognola,Soldi
Contenti,Soldi
Cottoni,Soldi
Curti,Soldi
Fracassetti,Soldi
Franceschi,Soldi
Gallo,Soldi
Gheltoff,Soldi
Guerra,Soldi
Grassi,Soldi
Lin,Soldi
Manfrotto,Soldi
Manzoni,Soldi
Martinengo,Soldi
Mora di San Felice,Soldi
Morelli,Soldi
Nosadini,Soldi
Pellizzioli,Soldi
Pepoli,Soldi
Persico,Soldi
Recanati,Soldi
Redetti,Soldi
Rezzonico,Soldi
Rizzi,Soldi
Romieri,Soldi
Rota,Soldi
Sandi,Soldi
Scroffa,Soldi
Semenzi,Soldi
Spinelli,Soldi
Toderini,Soldi
Veronese,Soldi
Vezzi,Soldi
Zambelli di San Stin,Soldi
Zino,Soldi
Buzzaccarini,Soldi
Caiselli,Soldi
Martinengo,Soldi
Mussatti,Soldi
Pindemonte,Soldi
Pisani,Soldi
Ottolini,Soldi
Panciera di Zoppola,Soldi
Borini,Soldi
Spineda,Soldi
Trento,Soldi
